,Concurso,Numeros,Ganhadores
258,1849,"[1, 5, 9, 11, 12, 13, 14, 17, 18, 19, 21, 22, 23, 24, 25]",0
259,1848,"[2, 3, 7, 8, 9, 11, 13, 15, 16, 17, 18, 20, 21, 22, 24]",3
260,1847,"[1, 2, 3, 5, 7, 8, 9, 14, 15, 17, 18, 19, 20, 23, 24]",3
261,1846,"[1, 3, 4, 5, 6, 7, 9, 13, 16, 17, 18, 19, 21, 24, 25]",0
262,1845,"[3, 4, 5, 6, 8, 10, 11, 14, 15, 17, 18, 19, 20, 21, 23]",6
263,1844,"[1, 3, 5, 6, 7, 8, 11, 12, 14, 15, 16, 17, 21, 23, 25]",0
264,1843,"[4, 6, 7, 8, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 24]",2
265,1842,"[3, 4, 5, 6, 9, 11, 12, 13, 14, 16, 17, 19, 20, 21, 23]",2
266,1841,"[1, 2, 3, 4, 6, 7, 8, 11, 12, 13, 17, 18, 21, 22, 25]",4
267,1840,"[2, 3, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 24]",3
268,1839,"[1, 3, 4, 6, 7, 8, 9, 14, 15, 17, 18, 19, 23, 24, 25]",18
269,1838,"[1, 3, 5, 8, 9, 10, 12, 15, 16, 18, 20, 21, 22, 23, 25]",7
270,1837,"[1, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 21, 24, 25]",1
271,1836,"[1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 17, 18, 19, 24, 25]",1
272,1835,"[1, 4, 6, 7, 11, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24]",5
273,1834,"[2, 5, 6, 8, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23]",1
274,1833,"[1, 7, 9, 11, 12, 14, 15, 16, 18, 19, 20, 21, 23, 24, 25]",2
275,1832,"[2, 7, 8, 9, 10, 11, 16, 18, 19, 20, 21, 22, 23, 24, 25]",2
276,1831,"[2, 4, 5, 8, 9, 10, 12, 14, 16, 18, 19, 20, 21, 22, 23]",3
277,1830,"[1, 3, 5, 8, 10, 11, 12, 14, 17, 18, 19, 20, 22, 23, 24]",7
278,1829,"[2, 3, 4, 5, 7, 10, 11, 13, 15, 16, 19, 21, 22, 23, 24]",4
279,1828,"[1, 2, 5, 6, 7, 8, 9, 11, 12, 13, 15, 19, 21, 23, 24]",0
280,1827,"[1, 3, 4, 6, 7, 10, 12, 13, 14, 17, 18, 19, 21, 22, 24]",14
281,1826,"[1, 2, 5, 7, 8, 9, 10, 11, 12, 13, 14, 19, 21, 22, 25]",1
282,1825,"[1, 3, 7, 8, 9, 10, 11, 14, 15, 16, 17, 20, 21, 22, 23]",1
283,1824,"[2, 5, 6, 8, 9, 11, 13, 14, 16, 17, 18, 20, 21, 23, 25]",14
284,1823,"[3, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 22]",1
285,1822,"[1, 4, 6, 9, 12, 13, 14, 16, 17, 18, 19, 20, 21, 24, 25]",2
286,1821,"[2, 3, 4, 5, 7, 9, 10, 13, 14, 16, 17, 19, 20, 21, 25]",0
287,1820,"[1, 4, 5, 7, 10, 13, 14, 16, 17, 18, 19, 20, 21, 22, 25]",2
288,1819,"[1, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23]",2
289,1818,"[1, 4, 5, 6, 8, 9, 10, 11, 14, 15, 16, 19, 21, 23, 24]",4
290,1817,"[1, 4, 7, 9, 10, 11, 14, 15, 16, 17, 18, 21, 22, 23, 24]",1
291,1816,"[1, 2, 4, 6, 7, 8, 9, 11, 13, 14, 15, 16, 18, 20, 21]",2
292,1815,"[3, 6, 7, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 24, 25]",1
293,1814,"[1, 2, 3, 5, 7, 12, 14, 15, 16, 18, 19, 21, 23, 24, 25]",3
294,1813,"[1, 2, 4, 5, 7, 8, 11, 13, 14, 15, 16, 17, 20, 23, 25]",2
295,1812,"[2, 4, 6, 7, 9, 11, 12, 13, 18, 19, 20, 21, 23, 24, 25]",6
296,1811,"[2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 18, 20, 21, 24]",1
297,1810,"[1, 3, 4, 6, 7, 9, 12, 13, 14, 16, 19, 21, 22, 24, 25]",9
298,1809,"[1, 2, 4, 5, 6, 9, 13, 14, 16, 17, 18, 20, 23, 24, 25]",4
299,1808,"[3, 5, 7, 8, 11, 12, 13, 15, 16, 18, 19, 20, 22, 24, 25]",1
300,1807,"[1, 2, 3, 5, 7, 8, 9, 13, 14, 17, 18, 19, 20, 24, 25]",2
301,1806,"[1, 2, 4, 5, 7, 9, 11, 14, 15, 16, 19, 20, 21, 23, 25]",6
302,1805,"[1, 2, 4, 5, 6, 9, 10, 14, 15, 16, 18, 20, 22, 23, 24]",2
303,1804,"[1, 5, 8, 9, 10, 11, 13, 14, 15, 17, 19, 20, 22, 24, 25]",4
304,1803,"[3, 4, 5, 6, 7, 9, 11, 15, 17, 18, 19, 20, 21, 23, 24]",3
305,1802,"[1, 2, 5, 8, 11, 12, 14, 15, 16, 19, 20, 21, 23, 24, 25]",2
306,1801,"[1, 4, 5, 7, 10, 12, 13, 15, 17, 18, 19, 20, 22, 23, 24]",8
307,1800,"[1, 2, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 20, 21, 22]",4
308,1799,"[2, 3, 4, 5, 8, 10, 11, 12, 15, 18, 20, 22, 23, 24, 25]",3
309,1798,"[2, 3, 4, 5, 7, 9, 12, 13, 14, 15, 16, 19, 20, 21, 23]",2
310,1797,"[3, 5, 6, 7, 9, 10, 11, 14, 15, 16, 17, 18, 19, 24, 25]",3
311,1796,"[1, 3, 5, 9, 10, 12, 15, 16, 18, 19, 20, 21, 23, 24, 25]",3
312,1795,"[2, 4, 7, 8, 9, 10, 13, 16, 17, 18, 19, 22, 23, 24, 25]",4
313,1794,"[3, 4, 5, 7, 8, 10, 11, 13, 16, 18, 19, 21, 22, 24, 25]",1
314,1793,"[1, 2, 3, 5, 6, 10, 11, 13, 16, 18, 19, 20, 21, 23, 24]",1
315,1792,"[2, 3, 6, 7, 9, 10, 13, 14, 15, 16, 17, 21, 22, 24, 25]",1
316,1791,"[1, 2, 4, 5, 7, 8, 10, 13, 15, 17, 18, 19, 20, 22, 24]",2
317,1790,"[1, 2, 3, 6, 8, 11, 12, 13, 15, 17, 18, 21, 23, 24, 25]",2
318,1789,"[1, 3, 5, 8, 9, 11, 13, 14, 15, 17, 19, 21, 22, 24, 25]",11
319,1788,"[1, 2, 6, 7, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20, 23]",1
320,1787,"[1, 2, 4, 6, 7, 10, 11, 12, 14, 18, 19, 20, 21, 23, 25]",9
321,1786,"[1, 3, 4, 5, 6, 7, 12, 16, 17, 18, 20, 21, 22, 23, 24]",1
322,1785,"[1, 4, 5, 6, 7, 8, 9, 11, 14, 16, 17, 19, 21, 23, 25]",2
323,1784,"[1, 3, 4, 7, 9, 10, 11, 13, 14, 17, 18, 19, 22, 23, 25]",50
324,1783,"[3, 4, 8, 10, 11, 12, 14, 15, 18, 20, 21, 22, 23, 24, 25]",5
325,1782,"[1, 2, 3, 7, 8, 12, 13, 14, 15, 17, 18, 19, 20, 22, 25]",2
326,1781,"[1, 4, 5, 7, 8, 9, 10, 11, 15, 16, 18, 19, 20, 21, 22]",3
327,1780,"[3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 22, 25]",2
328,1779,"[2, 3, 4, 6, 8, 9, 15, 18, 19, 20, 21, 22, 23, 24, 25]",3
329,1778,"[1, 3, 5, 6, 8, 9, 10, 11, 13, 16, 18, 19, 21, 23, 24]",12
330,1777,"[2, 4, 6, 8, 10, 12, 14, 15, 16, 18, 19, 20, 21, 24, 25]",16
331,1776,"[2, 3, 4, 6, 7, 11, 12, 13, 17, 18, 19, 22, 23, 24, 25]",9
332,1775,"[3, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 23]",3
333,1774,"[3, 7, 9, 10, 12, 13, 14, 15, 17, 19, 20, 22, 23, 24, 25]",7
334,1773,"[1, 2, 5, 8, 9, 10, 13, 15, 16, 17, 18, 19, 21, 24, 25]",1
335,1772,"[1, 3, 4, 5, 7, 9, 10, 13, 14, 16, 19, 20, 21, 24, 25]",4
336,1771,"[2, 6, 7, 10, 11, 13, 15, 16, 17, 18, 19, 21, 23, 24, 25]",1
337,1770,"[2, 4, 5, 7, 11, 12, 14, 15, 18, 19, 20, 21, 22, 23, 25]",2
338,1769,"[1, 3, 5, 7, 8, 10, 12, 13, 14, 16, 17, 18, 20, 23, 25]",7
339,1768,"[1, 2, 4, 6, 10, 12, 14, 17, 18, 19, 20, 22, 23, 24, 25]",1
340,1767,"[2, 4, 5, 6, 7, 9, 10, 11, 15, 16, 19, 20, 23, 24, 25]",1
341,1766,"[1, 3, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 23]",1
342,1765,"[1, 2, 3, 4, 5, 8, 9, 11, 13, 14, 17, 18, 21, 22, 25]",8
343,1764,"[1, 2, 4, 6, 7, 10, 12, 14, 15, 16, 17, 19, 20, 23, 25]",4
344,1763,"[1, 2, 3, 4, 5, 8, 9, 10, 11, 13, 14, 15, 16, 21, 24]",1
345,1762,"[1, 2, 5, 6, 7, 8, 12, 15, 16, 17, 20, 21, 22, 23, 25]",6
346,1761,"[1, 2, 3, 5, 6, 9, 10, 11, 13, 17, 18, 19, 20, 21, 25]",4
347,1760,"[1, 3, 4, 5, 6, 7, 12, 14, 15, 16, 18, 20, 23, 24, 25]",6
348,1759,"[1, 2, 3, 4, 5, 6, 8, 10, 14, 15, 16, 18, 19, 22, 23]",0
349,1758,"[1, 2, 4, 7, 8, 9, 10, 12, 13, 14, 17, 19, 20, 22, 23]",5
350,1757,"[1, 3, 4, 7, 10, 13, 14, 15, 17, 18, 20, 21, 22, 23, 25]",0
351,1756,"[1, 2, 5, 6, 7, 8, 12, 13, 16, 17, 19, 21, 22, 23, 24]",6
352,1755,"[1, 2, 3, 8, 9, 11, 13, 16, 18, 19, 20, 21, 22, 23, 25]",2
353,1754,"[1, 2, 3, 4, 5, 10, 12, 13, 14, 15, 17, 20, 21, 24, 25]",2
354,1753,"[1, 2, 3, 5, 6, 8, 9, 12, 13, 15, 17, 21, 22, 24, 25]",3
355,1752,"[1, 3, 4, 6, 7, 8, 9, 12, 13, 15, 16, 17, 18, 20, 22]",2
356,1751,"[1, 3, 4, 6, 7, 9, 10, 12, 13, 15, 18, 19, 22, 24, 25]",14
357,1750,"[1, 4, 6, 7, 10, 12, 13, 16, 17, 18, 19, 20, 22, 23, 24]",3
358,1749,"[2, 4, 6, 9, 12, 13, 15, 16, 19, 20, 21, 22, 23, 24, 25]",5
359,1748,"[1, 3, 5, 6, 7, 9, 10, 11, 12, 17, 18, 19, 21, 22, 25]",2
360,1747,"[1, 4, 5, 6, 7, 8, 10, 13, 15, 16, 17, 19, 20, 21, 25]",1
361,1746,"[3, 4, 6, 7, 8, 9, 10, 11, 12, 15, 16, 19, 22, 23, 25]",1
362,1745,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 16, 18, 20, 21, 24, 25]",3
363,1744,"[1, 5, 6, 10, 11, 12, 13, 15, 17, 18, 19, 20, 21, 23, 24]",0
364,1743,"[5, 6, 7, 8, 10, 11, 13, 15, 17, 18, 19, 21, 22, 24, 25]",5
365,1742,"[1, 4, 6, 8, 9, 10, 12, 14, 15, 16, 17, 18, 20, 21, 25]",0
366,1741,"[1, 5, 8, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25]",3
367,1740,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 16, 18, 19, 22, 24]",2
368,1739,"[2, 3, 4, 5, 6, 7, 8, 11, 12, 14, 16, 19, 20, 22, 24]",1
369,1738,"[1, 3, 6, 9, 10, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24]",1
370,1737,"[2, 4, 5, 6, 10, 11, 12, 15, 16, 18, 19, 20, 22, 24, 25]",3
371,1736,"[3, 6, 7, 9, 11, 12, 13, 15, 16, 18, 19, 22, 23, 24, 25]",4
372,1735,"[1, 2, 3, 6, 10, 12, 13, 14, 15, 19, 20, 21, 23, 24, 25]",1
373,1734,"[1, 2, 3, 6, 7, 8, 10, 11, 15, 16, 17, 21, 22, 24, 25]",4
374,1733,"[1, 2, 4, 5, 8, 9, 12, 13, 14, 15, 16, 19, 21, 23, 25]",4
375,1732,"[1, 3, 5, 9, 10, 12, 13, 14, 17, 18, 19, 20, 21, 22, 24]",2
376,1731,"[1, 3, 5, 7, 8, 9, 10, 13, 14, 17, 19, 20, 22, 24, 25]",8
377,1730,"[1, 7, 8, 10, 12, 13, 14, 15, 16, 18, 19, 22, 23, 24, 25]",2
378,1729,"[1, 2, 4, 6, 8, 9, 10, 11, 12, 14, 16, 18, 21, 24, 25]",7
379,1728,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 17, 21, 22]",1
380,1727,"[1, 2, 5, 6, 7, 9, 10, 13, 14, 15, 16, 20, 21, 22, 24]",2
381,1726,"[1, 3, 5, 6, 8, 10, 11, 12, 14, 15, 17, 19, 20, 22, 25]",23
382,1725,"[1, 5, 6, 8, 12, 13, 14, 15, 18, 19, 21, 22, 23, 24, 25]",2
383,1724,"[5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 18, 20, 21, 22, 23]",3
384,1723,"[1, 2, 4, 6, 7, 10, 11, 12, 13, 14, 17, 18, 19, 21, 22]",6
385,1722,"[2, 4, 5, 7, 8, 11, 12, 14, 15, 17, 19, 21, 22, 23, 25]",8
386,1721,"[1, 3, 4, 5, 6, 8, 11, 13, 14, 15, 16, 19, 21, 24, 25]",2
387,1720,"[2, 3, 4, 9, 10, 11, 13, 15, 17, 18, 20, 22, 23, 24, 25]",11
388,1719,"[2, 3, 4, 6, 10, 11, 13, 15, 17, 18, 20, 21, 23, 24, 25]",1
389,1718,"[2, 3, 5, 6, 7, 8, 10, 11, 12, 17, 18, 20, 21, 22, 24]",7
390,1717,"[1, 3, 4, 5, 7, 8, 9, 10, 11, 14, 15, 21, 22, 23, 24]",2
391,1716,"[1, 3, 4, 5, 7, 10, 11, 12, 13, 16, 17, 22, 23, 24, 25]",0
392,1715,"[1, 2, 4, 6, 8, 11, 13, 16, 17, 18, 19, 21, 22, 24, 25]",4
393,1714,"[1, 3, 5, 6, 7, 8, 10, 14, 15, 18, 19, 21, 22, 23, 24]",2
394,1713,"[1, 4, 8, 9, 10, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24]",3
395,1712,"[1, 3, 5, 6, 7, 10, 13, 14, 15, 16, 17, 18, 23, 24, 25]",14
396,1711,"[1, 2, 3, 4, 5, 8, 10, 11, 13, 14, 18, 19, 20, 21, 23]",3
397,1710,"[2, 4, 5, 6, 7, 9, 10, 11, 12, 17, 20, 21, 22, 24, 25]",2
398,1709,"[1, 3, 4, 5, 11, 12, 13, 15, 18, 19, 20, 21, 22, 23, 24]",1
399,1708,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 17, 18, 22]",33
400,1707,"[2, 5, 9, 10, 11, 12, 13, 16, 17, 18, 19, 21, 22, 23, 25]",1
401,1706,"[2, 3, 4, 5, 7, 8, 9, 12, 13, 14, 15, 17, 18, 20, 21]",7
402,1705,"[2, 3, 4, 5, 9, 12, 14, 16, 17, 18, 19, 20, 21, 23, 24]",2
403,1704,"[2, 4, 6, 7, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 22]",1
404,1703,"[1, 3, 6, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 22]",2
405,1702,"[3, 4, 5, 7, 8, 10, 11, 14, 15, 16, 17, 18, 19, 22, 25]",2
406,1701,"[1, 2, 3, 5, 6, 7, 8, 10, 13, 16, 17, 18, 20, 21, 22]",3
407,1700,"[1, 2, 3, 6, 7, 8, 12, 13, 14, 16, 20, 21, 22, 23, 24]",4
408,1699,"[4, 5, 6, 8, 9, 10, 13, 14, 15, 16, 19, 21, 23, 24, 25]",4
409,1698,"[2, 3, 4, 5, 8, 9, 13, 14, 16, 18, 19, 20, 21, 22, 25]",1
410,1697,"[3, 4, 6, 7, 10, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25]",1
411,1696,"[2, 4, 5, 7, 8, 10, 12, 13, 14, 16, 17, 18, 19, 23, 24]",4
412,1695,"[1, 4, 5, 9, 11, 13, 14, 17, 18, 20, 21, 22, 23, 24, 25]",1
413,1694,"[1, 2, 3, 4, 5, 9, 11, 12, 13, 17, 18, 19, 20, 23, 24]",1
414,1693,"[1, 3, 4, 6, 7, 8, 11, 14, 16, 17, 19, 20, 21, 22, 23]",1
415,1692,"[3, 5, 6, 7, 10, 12, 14, 15, 17, 18, 20, 22, 23, 24, 25]",5
416,1691,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 15, 16, 18, 19]",2
417,1690,"[1, 2, 4, 5, 7, 8, 10, 13, 15, 16, 19, 20, 22, 23, 25]",5
418,1689,"[1, 2, 6, 7, 9, 10, 11, 13, 14, 16, 17, 18, 19, 22, 23]",2
419,1688,"[1, 3, 4, 5, 6, 7, 8, 10, 13, 15, 19, 21, 22, 24, 25]",0
420,1687,"[1, 2, 3, 4, 6, 7, 9, 10, 14, 16, 17, 18, 19, 20, 24]",2
421,1686,"[2, 4, 5, 6, 9, 10, 13, 15, 17, 18, 19, 20, 22, 23, 24]",3
422,1685,"[1, 2, 3, 5, 6, 7, 11, 12, 14, 16, 17, 19, 21, 22, 24]",3
423,1684,"[2, 4, 7, 9, 10, 12, 13, 14, 15, 16, 17, 22, 23, 24, 25]",4
424,1683,"[1, 2, 3, 5, 9, 10, 11, 13, 15, 16, 17, 18, 23, 24, 25]",3
425,1682,"[1, 4, 5, 6, 7, 9, 12, 13, 15, 17, 18, 19, 20, 21, 25]",3
426,1681,"[1, 2, 3, 7, 8, 10, 11, 12, 15, 16, 17, 20, 22, 23, 25]",8
427,1680,"[1, 2, 3, 7, 8, 10, 11, 12, 13, 14, 18, 20, 21, 23, 25]",2
428,1679,"[5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 23]",7
429,1678,"[1, 3, 4, 5, 6, 8, 9, 14, 16, 18, 19, 20, 22, 23, 24]",0
430,1677,"[1, 4, 5, 6, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22]",4
431,1676,"[3, 4, 8, 9, 10, 12, 13, 14, 15, 16, 18, 20, 23, 24, 25]",4
432,1675,"[1, 2, 3, 5, 7, 8, 9, 12, 14, 19, 20, 21, 22, 23, 25]",1
433,1674,"[1, 2, 4, 5, 9, 10, 11, 12, 15, 19, 20, 21, 22, 23, 24]",2
434,1673,"[1, 2, 4, 5, 7, 9, 11, 12, 15, 17, 19, 20, 23, 24, 25]",6
435,1672,"[2, 3, 5, 6, 8, 9, 11, 17, 18, 20, 21, 22, 23, 24, 25]",2
436,1671,"[1, 3, 4, 5, 8, 9, 10, 12, 14, 15, 18, 19, 21, 22, 25]",3
437,1670,"[1, 2, 3, 4, 7, 11, 13, 14, 16, 17, 20, 21, 22, 23, 25]",3
438,1669,"[1, 2, 3, 5, 6, 7, 8, 9, 12, 16, 17, 20, 21, 23, 25]",2
439,1668,"[4, 5, 6, 8, 11, 12, 14, 16, 17, 18, 20, 21, 23, 24, 25]",3
440,1667,"[1, 2, 3, 4, 8, 10, 11, 13, 16, 18, 20, 22, 23, 24, 25]",6
441,1666,"[1, 2, 5, 6, 8, 9, 10, 12, 13, 14, 17, 20, 21, 24, 25]",3
442,1665,"[1, 2, 4, 5, 8, 10, 12, 13, 15, 17, 18, 21, 22, 23, 24]",1
443,1664,"[2, 4, 5, 6, 7, 8, 11, 13, 15, 16, 17, 18, 20, 24, 25]",4
444,1663,"[1, 2, 3, 5, 6, 7, 9, 11, 12, 13, 16, 17, 21, 22, 23]",7
445,1662,"[1, 2, 3, 5, 8, 10, 11, 13, 14, 17, 18, 20, 21, 22, 25]",8
446,1661,"[2, 3, 5, 6, 7, 10, 11, 12, 13, 14, 17, 18, 21, 22, 23]",4
447,1660,"[1, 2, 3, 7, 8, 10, 11, 13, 14, 17, 18, 20, 21, 24, 25]",25
448,1659,"[2, 4, 7, 8, 9, 10, 12, 14, 15, 16, 20, 21, 22, 23, 25]",2
449,1658,"[2, 4, 5, 6, 7, 8, 12, 13, 15, 16, 17, 18, 19, 20, 23]",5
450,1657,"[3, 4, 6, 8, 9, 10, 12, 15, 17, 18, 19, 20, 21, 23, 24]",0
451,1656,"[2, 3, 4, 5, 7, 10, 11, 12, 13, 15, 17, 19, 20, 23, 24]",3
452,1655,"[1, 2, 3, 5, 6, 7, 10, 12, 14, 16, 18, 19, 20, 22, 23]",2
453,1654,"[1, 2, 3, 4, 6, 10, 11, 13, 16, 18, 19, 20, 22, 23, 25]",5
454,1653,"[2, 4, 5, 6, 7, 12, 14, 15, 17, 20, 21, 22, 23, 24, 25]",0
455,1652,"[2, 3, 4, 5, 6, 7, 10, 11, 14, 16, 17, 18, 21, 24, 25]",0
456,1651,"[1, 2, 3, 4, 6, 7, 8, 10, 16, 17, 18, 19, 20, 22, 24]",4
457,1650,"[3, 4, 5, 8, 10, 13, 14, 15, 16, 17, 18, 19, 20, 22, 25]",0
458,1649,"[4, 5, 8, 9, 12, 13, 14, 15, 16, 17, 18, 20, 22, 23, 24]",2
459,1648,"[4, 9, 10, 11, 12, 13, 15, 16, 17, 19, 21, 22, 23, 24, 25]",1
460,1647,"[1, 2, 4, 7, 8, 9, 10, 12, 14, 15, 19, 20, 22, 24, 25]",5
461,1646,"[1, 3, 4, 5, 6, 7, 9, 12, 13, 15, 17, 18, 20, 22, 25]",6
462,1645,"[2, 3, 4, 5, 8, 9, 10, 14, 15, 16, 18, 20, 21, 23, 25]",3
463,1644,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 15, 18, 22, 23, 24]",2
464,1643,"[1, 2, 3, 4, 5, 7, 9, 10, 12, 14, 16, 19, 22, 23, 25]",2
465,1642,"[2, 5, 6, 7, 10, 11, 13, 15, 17, 18, 19, 20, 22, 24, 25]",5
466,1641,"[3, 4, 5, 8, 9, 11, 12, 14, 16, 17, 19, 20, 21, 22, 25]",5
467,1640,"[1, 2, 4, 5, 6, 12, 14, 15, 16, 17, 20, 21, 22, 24, 25]",3
468,1639,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 14, 15, 19, 20, 22, 25]",6
469,1638,"[1, 7, 8, 10, 11, 12, 14, 15, 16, 19, 20, 22, 23, 24, 25]",0
470,1637,"[3, 4, 5, 7, 8, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24]",6
471,1636,"[2, 3, 6, 7, 8, 9, 12, 13, 14, 15, 18, 19, 20, 22, 25]",1
472,1635,"[1, 3, 6, 7, 8, 12, 15, 16, 17, 19, 21, 22, 23, 24, 25]",2
473,1634,"[3, 4, 5, 6, 7, 9, 10, 13, 14, 15, 19, 21, 22, 24, 25]",2
474,1633,"[1, 2, 3, 5, 6, 7, 9, 10, 17, 18, 19, 20, 23, 24, 25]",3
475,1632,"[4, 5, 8, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25]",0
476,1631,"[2, 3, 4, 5, 9, 10, 11, 12, 14, 18, 19, 20, 22, 23, 25]",6
477,1630,"[3, 5, 7, 8, 9, 10, 12, 13, 14, 15, 17, 20, 22, 23, 25]",4
478,1629,"[1, 2, 3, 5, 6, 7, 9, 10, 12, 14, 15, 18, 22, 24, 25]",4
479,1628,"[1, 3, 6, 9, 11, 12, 16, 17, 18, 19, 20, 22, 23, 24, 25]",2
480,1627,"[2, 3, 4, 6, 8, 9, 11, 12, 13, 14, 15, 17, 20, 21, 24]",1
481,1626,"[1, 3, 4, 7, 8, 9, 10, 11, 13, 15, 16, 17, 20, 21, 24]",5
482,1625,"[2, 3, 6, 8, 10, 12, 13, 16, 17, 18, 19, 20, 21, 22, 24]",4
483,1624,"[1, 2, 6, 7, 8, 9, 11, 14, 15, 16, 17, 18, 20, 23, 24]",0
484,1623,"[1, 2, 3, 4, 6, 7, 8, 10, 11, 13, 14, 17, 19, 20, 24]",5
485,1622,"[1, 2, 3, 4, 8, 9, 11, 16, 17, 18, 20, 22, 23, 24, 25]",1
486,1621,"[2, 3, 4, 6, 8, 9, 10, 13, 14, 18, 19, 21, 22, 23, 24]",7
487,1620,"[1, 2, 4, 7, 9, 10, 11, 12, 13, 14, 18, 20, 21, 24, 25]",4
488,1619,"[4, 5, 7, 8, 10, 11, 13, 15, 16, 17, 18, 21, 22, 24, 25]",1
489,1618,"[1, 3, 4, 5, 8, 9, 10, 13, 14, 16, 17, 19, 20, 24, 25]",4
490,1617,"[2, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 20, 22, 23, 25]",1
491,1616,"[1, 2, 4, 5, 8, 10, 11, 13, 14, 16, 17, 18, 22, 23, 24]",0
492,1615,"[1, 2, 4, 5, 6, 7, 9, 10, 11, 16, 17, 19, 20, 21, 25]",3
493,1614,"[1, 2, 3, 7, 9, 10, 12, 13, 14, 15, 16, 17, 19, 21, 23]",3
494,1613,"[1, 2, 3, 4, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19, 21]",5
495,1612,"[2, 3, 4, 5, 7, 11, 12, 14, 15, 18, 21, 22, 23, 24, 25]",0
496,1611,"[1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 20, 22, 24]",1
497,1610,"[3, 6, 7, 9, 10, 11, 13, 14, 16, 17, 19, 20, 21, 22, 24]",6
498,1609,"[5, 6, 7, 8, 9, 11, 13, 14, 17, 18, 20, 21, 23, 24, 25]",2
499,1608,"[1, 2, 3, 5, 6, 9, 10, 14, 17, 18, 20, 21, 22, 23, 25]",5
500,1607,"[1, 2, 3, 6, 7, 8, 9, 11, 12, 13, 14, 15, 17, 18, 24]",0
501,1606,"[1, 3, 5, 7, 8, 9, 10, 11, 14, 15, 19, 20, 22, 23, 25]",5
502,1605,"[2, 4, 5, 8, 9, 10, 11, 14, 16, 17, 18, 19, 21, 23, 25]",4
503,1604,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 19, 21, 22, 24]",2
504,1603,"[1, 2, 3, 4, 7, 9, 10, 13, 14, 16, 19, 20, 21, 23, 24]",5
505,1602,"[1, 3, 4, 8, 9, 10, 11, 13, 14, 15, 17, 19, 21, 23, 24]",8
506,1601,"[2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 18, 20, 22, 25]",3
507,1600,"[2, 3, 4, 5, 7, 9, 13, 14, 16, 17, 18, 20, 22, 23, 24]",1
508,1599,"[1, 3, 4, 5, 6, 8, 9, 10, 14, 18, 20, 21, 22, 23, 25]",1
509,1598,"[2, 5, 6, 7, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 24]",2
510,1597,"[1, 2, 5, 6, 7, 8, 9, 13, 17, 18, 19, 20, 21, 22, 24]",4
511,1596,"[5, 8, 9, 10, 11, 12, 13, 15, 18, 19, 20, 21, 22, 23, 24]",4
512,1595,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 17, 18, 20, 22, 25]",3
513,1594,"[1, 2, 4, 6, 8, 10, 11, 12, 13, 15, 16, 17, 19, 21, 25]",4
514,1593,"[3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 16, 17, 20, 22, 24]",3
515,1592,"[1, 2, 3, 4, 5, 6, 9, 12, 14, 15, 16, 19, 20, 22, 25]",0
